optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,1,0.58,73.26,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,2,0.43,73.73,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,3,0.3,72.05,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,4,0.17,72.61,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,5,0.15,73.55,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,6,0.13,71.67,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,7,0.12,72.23,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,8,0.11,72.23,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,9,0.11,72.8,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,10,0.11,70.36,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,11,0.11,73.55,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.3,2,False,random,100,glove.6B.100d.txt,12,0.11,73.45,75.23
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,1,0.64,73.73,78.52
